squad,comp,comp_code,date,home_away,opponent,gf,ga,score,result,status,event_id
Juventus,리그,ita.1,2026-08-29,H,Parma,0,0,0-0,,scheduled,401874746
Juventus,리그,ita.1,2026-09-06,H,Milan,0,0,0-0,,scheduled,401874954
Juventus,리그,ita.1,2026-09-12,A,Sassuolo,0,0,0-0,,scheduled,401874750
Juventus,리그,ita.1,2026-09-20,H,Atalanta,0,0,0-0,,scheduled,401874757
Juventus,리그,ita.1,2026-10-11,A,Cagliari,0,0,0-0,,scheduled,401874764
Juventus,리그,ita.1,2026-10-17,H,Lazio,0,0,0-0,,scheduled,401874765
Juventus,리그,ita.1,2026-10-25,A,Lecce,0,0,0-0,,scheduled,401874772
Juventus,리그,ita.1,2026-10-28,A,Genoa,0,0,0-0,,scheduled,401874988
Juventus,리그,ita.1,2026-11-01,H,Napoli,0,0,0-0,,scheduled,401874949
Juventus,리그,ita.1,2026-11-08,A,Fiorentina,0,0,0-0,,scheduled,401875003
Juventus,리그,ita.1,2026-11-22,H,Venezia,0,0,0-0,,scheduled,401875008
Juventus,리그,ita.1,2026-11-29,A,Como,0,0,0-0,,scheduled,401874994
Juventus,리그,ita.1,2026-12-06,H,Udinese,0,0,0-0,,scheduled,401875006
Juventus,리그,ita.1,2026-12-13,H,Monza,0,0,0-0,,scheduled,401874783
Juventus,리그,ita.1,2026-12-20,A,Roma,0,0,0-0,,scheduled,401874813
Juventus,리그,ita.1,2027-01-03,A,Bologna,0,0,0-0,,scheduled,401875000
Juventus,리그,ita.1,2027-01-06,H,Torino,0,0,0-0,,scheduled,401875070
Juventus,리그,ita.1,2027-01-10,A,Inter,0,0,0-0,,scheduled,401875035
Juventus,리그,ita.1,2027-01-17,H,Genoa,0,0,0-0,,scheduled,401875059
Juventus,리그,ita.1,2027-01-24,H,Cagliari,0,0,0-0,,scheduled,401875012
Juventus,리그,ita.1,2027-01-31,A,Milan,0,0,0-0,,scheduled,401875078
Juventus,리그,ita.1,2027-02-07,H,Sassuolo,0,0,0-0,,scheduled,401875069
Juventus,리그,ita.1,2027-02-14,A,Napoli,0,0,0-0,,scheduled,401874829
Juventus,리그,ita.1,2027-02-21,H,Bologna,0,0,0-0,,scheduled,401874816
Juventus,리그,ita.1,2027-02-28,A,Monza,0,0,0-0,,scheduled,401875088
Juventus,리그,ita.1,2027-03-07,H,Roma,0,0,0-0,,scheduled,401874834
Juventus,리그,ita.1,2027-03-14,A,Lazio,0,0,0-0,,scheduled,401874865
Juventus,리그,ita.1,2027-03-21,H,Como,0,0,0-0,,scheduled,401875083
Juventus,리그,ita.1,2027-04-04,A,Torino,0,0,0-0,,scheduled,401874814
Juventus,리그,ita.1,2027-04-11,H,Lecce,0,0,0-0,,scheduled,401874832
Juventus,리그,ita.1,2027-04-18,A,Venezia,0,0,0-0,,scheduled,401875072
Juventus,리그,ita.1,2027-04-25,H,Fiorentina,0,0,0-0,,scheduled,401875156
Juventus,리그,ita.1,2027-05-02,A,Atalanta,0,0,0-0,,scheduled,401875085
Juventus,리그,ita.1,2027-05-09,A,Udinese,0,0,0-0,,scheduled,401875115
Juventus,리그,ita.1,2027-05-16,H,Inter,0,0,0-0,,scheduled,401874849
