target_club,player,pos_detail,age,current_club,market_value_eur,probability,date
Paris FC,Mason Greenwood,Right Winger,24,Olympique Marseille,55000000.0,17,19/05/2026
Paris FC,Gustavo Varela,Centre-Forward,21,SL Benfica B,3000000.0,,15/05/2026
Paris FC,Adrien Thomasson,Central Midfield,32,Stade Rennais FC,4000000.0,,10/05/2026
Paris FC,Pablo Pagis,Left Winger,23,FC Lorient,15000000.0,,05/05/2026
Paris FC,Matt O'Riley,Central Midfield,25,Brighton & Hove Albion,18000000.0,,19/04/2026
Rennes,Charlie Cresswell,Centre-Back,23,FC Toulouse,25000000.0,,03/07/2026
Rennes,Bryan Reynolds,Right-Back,25,KVC Westerlo,3500000.0,,26/06/2026
Rennes,Lucas Chevalier,Goalkeeper,24,Paris Saint-Germain,25000000.0,,09/06/2026
Rennes,Diego Moreira,Left Midfield,21,RC Strasbourg Alsace,25000000.0,,27/05/2026
Rennes,Kévin Danois,Central Midfield,22,AJ Auxerre,20000000.0,,19/05/2026
Rennes,Antoine Sekongo,Central Midfield,22,USL Dunkerque,4000000.0,,19/05/2026
Rennes,Nabil Bentaleb,Defensive Midfield,31,Without ClubWithout Club,4500000.0,,19/05/2026
Rennes,Adrien Thomasson,Central Midfield,32,Stade Rennais FC,4000000.0,,15/05/2026
Rennes,Adem Arous,Centre-Back,21,Kasimpasa,4000000.0,,11/05/2026
Strasbourg,Marcel Reguła,Attacking Midfield,19,Zaglebie Lubin,7000000.0,,01/07/2026
Strasbourg,Fynn Schenten,Centre-Forward,18,1.FC Köln,1000000.0,,25/06/2026
Strasbourg,Zan Vipotnik,Centre-Forward,24,Swansea City,22000000.0,,24/06/2026
Strasbourg,Dastan Satpaev,Centre-Forward,17,Kairat Almaty,3500000.0,76,16/06/2026
Strasbourg,Robbie Ure,Centre-Forward,22,IK Sirius,5000000.0,,02/06/2026
Strasbourg,Taufik Seidu,Central Midfield,18,Atlético Madrid C,,,02/06/2026
Strasbourg,Mateo Del Blanco,Left-Back,22,CA Unión (Santa Fe),5000000.0,,28/05/2026
Strasbourg,Kingsley Olufadé,Striker,18,LOSC Lille U19,,,25/05/2026
Strasbourg,Oso,Left-Back,22,Sevilla FC,10000000.0,,23/05/2026
Strasbourg,Jonathan Jesus,Centre-Back,22,Cruzeiro Esporte Clube,8000000.0,,22/05/2026
Strasbourg,Jacques Ekomié,Left-Back,22,Angers SCO,9000000.0,,20/05/2026
Strasbourg,Carlos Espí,Centre-Forward,20,Levante UD,20000000.0,,14/05/2026
Strasbourg,Diogo Sousa,Defensive Midfield,20,RC Strasbourg Alsace,8000000.0,,12/05/2026
Strasbourg,Caleb Yirenkyi,Central Midfield,20,FC Nordsjaelland,10000000.0,,05/05/2026
Strasbourg,Tobías Andrada,Central Midfield,19,CA Vélez Sarsfield,9000000.0,,29/04/2026
Strasbourg,Bilal Nadir,Central Midfield,22,Without ClubWithout Club,8000000.0,,20/04/2026
Strasbourg,Xavier Mandza,Midfielder,17,OGC Nice U17,,,15/04/2026
Strasbourg,Giacomo Koloto,Centre-Forward,18,FC Basel 1893,3000000.0,,08/04/2026
Strasbourg,Nicolò Tresoldi,Centre-Forward,21,Club Brugge KV,25000000.0,,16/03/2026
Toulouse,Christ Tapé,Left-Back,20,AC Horsens,800000.0,,06/07/2026
Toulouse,Miguel Chaiwa,Defensive Midfield,22,Hibernian FC,3000000.0,,15/06/2026
Toulouse,Thomas Jørgensen,Central Midfield,20,Viborg FF,5000000.0,,14/06/2026
Toulouse,Hyun-seok Hong,Attacking Midfield,27,1.FSV Mainz 05,2500000.0,,12/06/2026
Toulouse,Ibrahim Cissé,Centre-Back,30,Without ClubWithout Club,2500000.0,,11/06/2026
Toulouse,Antoine Sekongo,Central Midfield,22,USL Dunkerque,4000000.0,,19/05/2026
Toulouse,Paul Nardi,Goalkeeper,32,Without ClubWithout Club,1200000.0,,18/05/2026
Toulouse,Akram Bouras,Central Midfield,24,Levski Sofia,2000000.0,,09/05/2026
Toulouse,Heinz Mörschel,Attacking Midfield,28,FC Vizela,1200000.0,,17/04/2026
